"state","NumberOfFarms"
"Alabama",39000
"Alaska",1050
"Arizona",20000
"Arkansas",49346
"California",70521
"Colorado",38800
"Connecticut",5500
"Delaware",2300
"Florida",47400
"Georgia",42000
"Hawaii",7300
"Idaho",24400
"Illinois",70700
"Indiana",56649
"Iowa",84900
"Kansas",58300
"Kentucky",73500
"Louisiana",30000
"Maine",7600
"Maryland",12000
"Massachusetts",7241
"Michigan",47600
"Minnesota",68000
"Mississippi",34700
"Missouri",95000
"Montana",27000
"Nebraska",44300
"Nevada",3300
"New Hampshire",4900
"New Jersey",9071
"New Mexico",24100
"New York",33000
"North Carolina",45000
"North Dakota",25900
"Ohio",76900
"Oklahoma",86000
"Oregon",37400
"Pennsylvania",52700
"Rhode Island",1100
"South Carolina",25000
"South Dakota",31000
"Tennessee",69500
"Texas",248416
"Utah",17900
"Vermont",6800
"Virginia",41500
"Washington",35200
"West Virginia",22500
"Wisconsin",64100
"Wyoming",11600
