state,county,year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alabama,Calhoun,1993,52,50,2,0,0,0,0,68,35,23,0,0,0,0,52
Alabama,Clay,1993,306,220,69,16,1,0,0,164,84,44,0,0,306,0,0
Alabama,Colbert,1993,60,59,1,0,0,0,0,51,35,21,0,0,0,0,60
Alabama,DeKalb,1993,357,244,86,22,5,0,0,177,90,44,0,0,353,0,4
Alabama,Elmore,1993,282,190,75,14,3,0,0,156,93,44,0,0,282,0,0
Alabama,Escambia,1993,54,51,3,0,0,0,0,79,41,23,0,0,0,0,54
Alabama,Etowah,1993,60,51,9,0,0,0,0,67,55,31,0,0,0,0,60
Alabama,Franklin,1993,59,57,2,0,0,0,0,53,37,19,0,0,0,0,59
Alabama,Houston,1993,57,55,2,0,0,0,0,55,48,21,0,0,0,0,57
Alabama,Jackson,1993,56,55,1,0,0,0,0,51,37,21,0,0,0,0,56
Alabama,Jefferson,1993,365,225,113,21,5,1,0,205,93,45,94,0,205,0,66
Alabama,Lawrence,1993,315,203,101,10,1,0,0,161,80,43,0,0,250,65,0
Alabama,Madison,1993,365,244,84,32,4,1,0,215,101,44,10,107,237,0,11
Alabama,Marengo,1993,59,57,2,0,0,0,0,51,35,22,0,0,0,0,59
Alabama,Mobile,1993,316,262,48,6,0,0,0,115,64,36,0,0,274,0,42
Alabama,Montgomery,1993,233,189,31,9,4,0,0,174,74,31,0,0,190,0,43
Alabama,Morgan,1993,285,195,65,22,3,0,0,192,100,43,0,0,265,0,20
Alabama,Pike,1993,60,57,3,0,0,0,0,59,38,19,0,0,0,0,60
Alabama,Russell,1993,59,58,1,0,0,0,0,60,34,23,0,0,0,0,59
Alabama,Shelby,1993,314,232,57,17,6,2,0,209,93,40,0,41,255,0,18
Alabama,Sumter,1993,293,255,38,0,0,0,0,100,58,37,0,0,293,0,0
Alabama,Talladega,1993,59,56,3,0,0,0,0,61,47,25,0,0,0,0,59
Alabama,Tuscaloosa,1993,54,52,2,0,0,0,0,57,40,23,0,0,0,0,54
Alabama,Walker,1993,56,52,4,0,0,0,0,58,42,23,0,0,0,0,56
Alaska,Anchorage ,1993,362,217,135,10,0,0,0,116,74,43,141,0,0,0,221
Alaska,Denali ,1993,352,352,0,0,0,0,0,49,39,31,0,0,345,7,0
Alaska,Fairbanks North Star ,1993,270,190,74,6,0,0,0,143,76,35,177,0,0,0,93
Alaska,Juneau ,1993,360,306,51,2,1,0,0,180,57,17,0,0,0,0,360
Alaska,Ketchikan Gateway ,1993,41,41,0,0,0,0,0,26,19,8,0,0,0,0,41
Alaska,Sitka ,1993,295,294,1,0,0,0,0,51,18,8,0,0,0,0,295
Arizona,Cochise,1993,348,253,94,1,0,0,0,105,64,44,0,0,312,11,25
Arizona,Coconino,1993,362,281,81,0,0,0,0,90,67,44,0,0,359,1,2
